,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,sd_ratio
51,70,0.03581270430114608,0.09375,0.7790855397313129,0.0,0,0.0,0,,0.44285714285714284,0.014285714285714285,0.0,0.2,,,,-0.009243373973091008,0.03381642512077295,175.8900146484375,2.7205996549831295
52,194,0.09925235192031914,0.09375,0.5864469223857371,0.0,0,0.0,0,,0.3402061855670103,0.030927835051546393,0.0,0.8,,,,-0.2111910031676539,0.02073365231259968,131.23500061035156,0.5740984332402149
53,714,0.36528958387169,0.125,0.6027150616590918,1.2780364637877641,1,1.0,1,,0.38795518207282914,0.008403361344537815,0.0,2.8,,,0.0,-0.15816149968684043,0.008468693599888935,140.6925048828125,0.8616851985155517
54,101309,51.83070371492583,0.125,0.37320006045787857,3.761438410235205,59253,1.0,50439,,0.4281258328480194,0.019277655489640604,0.0,543.5599999999998,,,0.00012830382345393893,-0.10009300184758181,0.009004916836323129,91.45500183105469,0.2637431731506201
55,407,0.20822529500809223,0.125,0.753288028338293,0.0,0,0.0,0,,0.7125307125307125,0.12285012285012285,0.0,1.3099999999999907,,,,-0.19741027395303526,0.062400000000000004,175.8900146484375,2.106871122545933
56,1026,0.5249119230425126,0.125,0.5396086343934636,0.0,0,0.0,0,,0.8401559454191033,0.06335282651072124,0.0,4.419999999999981,,,0.0,-0.7742747315568749,0.02361111111111111,-134.45248413085938,1.7648026764585159
57,165,0.08441566013841577,0.09375,0.6393467358605677,0.0,0,0.0,0,,0.6242424242424243,0.030303030303030304,0.0,0.4,,,,-0.30309174942839284,0.010909090909090908,-146.05499267578125,1.0234569171921064
58,88511,45.28311814855344,0.125,0.5487524427358145,3.9018103029044378,46916,1.0,40256,,0.4221396210640485,0.01761362994430071,0.0,479.21999999999997,,,0.0,-0.1308094648628081,0.009906705357421448,134.74501037597656,0.2605657351873667
59,398,0.20362080445508773,0.125,0.708836896427713,0.0,0,0.0,0,,0.4849246231155779,0.032663316582914576,0.0,1.3099999999999907,,,,-0.08557255437134359,0.0625,164.97000122070312,2.1331948113238313
60,2261,1.1567503489270183,0.125,0.10926063353902155,0.25489923931501113,2,0.5149193538830461,2,,0.38301636444051307,0.017691287041132243,0.0,11.929999999999971,,,0.0,-0.4778404416947555,0.010657446002273589,-10.335000038146973,1.1073662029803286
61,364,0.18622606236595962,0.125,0.571369118106393,0.0,0,0.0,0,,0.46153846153846156,0.019230769230769232,0.0,1.3099999999999907,,,,-0.25657121121757337,0.007230255839822025,133.1850128173828,1.0006205220340456
62,73097,37.39716066144107,0.125,0.4852669575698264,3.889835584211817,31900,1.0,25082,,0.4071302515835123,0.016430222854563116,0.0,395.90999999999997,,,0.0,-0.07894592794279792,0.00967737390814314,132.2100067138672,0.274444694602091
63,106080,54.27159531807966,0.125,0.5824791183734096,3.56769148876181,61619,1.0,53764,,0.39692684766214176,0.014423076923076924,9.42684766214178e-06,573.75,,,5.655788699734178e-05,-0.1444896024947126,0.0077935369850449104,130.260009765625,0.2559437731532586
64,122,0.06241642749628317,0.125,0.6531066135034622,0.0,0,0.0,0,,0.3442622950819672,0.00819672131147541,0.0,0.4,,,,-0.12128971631594496,0.024813895781637715,150.83251953125,0.6964579119264368
65,396,0.20259758433219782,0.125,0.3651279081570566,0.0,0,0.0,0,,0.4494949494949495,0.03535353535353535,0.0,1.6,,,,-0.43062412591271537,0.016483516483516484,-84.82499694824219,2.453246005460388
66,745,0.38114949577648327,0.125,0.4524675746345671,2.3477784859894495,2,1.0,2,,0.45100671140939597,0.020134228187919462,0.0,3.7099999999999906,,,0.0,-0.4860637428195573,0.00847457627118644,-22.229999542236328,1.6759496077068967
67,45236,23.14319273952349,0.125,0.547958844675224,4.472546454267397,14047,1.0,11345,,0.4020028296047396,0.015385975771509417,0.0,241.01999999999998,,,4.4210619390777666e-05,-0.08059970198568452,0.00861203777764772,131.625,0.33333429599336994
68,259,0.1325070059142405,0.125,1.9380214571308536,0.0,0,0.0,0,,0.5328185328185329,0.04247104247104247,0.0,0.9099999999999909,,,,-0.5595446051008537,0.020933977455716585,-464.8800048828125,2.315965736074024
69,793,0.4057067787258406,0.125,0.3712615374542866,7.252560057584617,7,1.0,7,,0.45901639344262296,0.02395964691046658,0.0,3.4,,,0.0,-0.2462592880758732,0.009275440247345073,-91.26000213623047,1.5333975033365241
70,62168,31.80577429990928,0.125,0.5586720459119454,3.969045939365142,23544,1.0,19277,,0.4236906447046712,0.019125595161497876,0.0,337.33,,,0.0,-0.15291263181913314,0.00693929659830327,133.1850128173828,0.30106992736007837
71,31,0.015859911904793265,0.09375,1.226376955673179,0.0,0,0.0,0,,0.45161290322580644,0.0,0.0,0.0,,,,-0.40555355282690636,0.05555555555555555,-285.0899963378906,2.144686590884685
72,4748,2.4291245717405943,0.125,0.8511707615761795,2.687826283334777,93,1.0,59,,0.4806234203875316,0.02401010951979781,0.0,25.0,,,0.0,-0.367862716481152,0.009455045556128588,-197.4375,0.9825949034169018
73,176,0.09004337081431014,0.09375,1.7375632074247023,0.0,0,0.0,0,,0.35795454545454547,0.022727272727272728,0.0,0.4,,,,-0.20646076610228933,0.05723905723905724,401.4075012207031,2.7641313014150763
