,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,sd_ratio
192,47514,24.30864045949507,1.0,0.9912232384004404,0.004617601647977227,16,0.005208358893513454,12,,0.009512985646335816,0.0,0.0,24.999999999999996,0.5622069239616394,5.283560752868652,0.0,-0.035301254316054624,0.004896783247298711,140.59500122070312,1.380727830502219
193,39703,20.312454269548613,1.0,0.9584674372625336,0.03182612367763084,77,0.03791821456429878,60,,0.008135405384983502,0.0,0.0,38.50999999999999,,,0.0,-0.003926128641876343,0.005618078559585083,134.35501098632812,1.2319046764791362
197,33545,17.161959511170647,1.0,1.8840280687128133,0.008685110235410307,15,0.010477003115890948,12,,0.007810403935012669,0.0,0.0,16.529999999999973,0.35196852684020996,2.669325828552246,0.0,-0.1978972839930791,0.005981758513404083,-282.75,1.495996165003338
198,25045,12.813273988888623,1.0,1.0734706468500819,0.039471278437944596,38,0.04625388119242213,29,,0.010181672988620483,0.0,0.0,26.0,,,0.0,-0.11787315777478383,0.004138038725796377,142.54501342773438,0.8407289659552202
199,31785,16.261525803027546,1.0,1.9558826431602145,0.00515923397524813,8,0.0077690201740027165,8,,0.00877772534214252,0.0,0.0,9.0,0.3360675871372223,2.331779956817627,0.0,-0.17222240811947595,0.003818464790725159,-285.8699951171875,1.5590897028632458
205,55533,28.411241542222076,1.0,0.9650774954503285,0.02218332778425866,105,0.023083533528110434,72,,0.0081032899357139,0.0,0.0,21.90999999999999,0.5441430807113647,4.8358354568481445,0.0,-0.023518746530788864,0.003429330737777269,139.4250030517578,1.2221816001272054
206,29020,14.846923983132276,1.0,1.387087945431101,0.009283806891321134,12,0.011672872151507585,10,,0.008407994486560993,0.0,0.0,7.709999999999999,0.5034834146499634,2.984362840652466,0.0,-0.1771830427586206,0.005085120495246518,-212.9399871826172,1.643720208048335
207,22606,11.565457049024404,1.0,0.9827148972811746,0.05354778516496039,42,0.04901152793399466,25,,0.01145713527382111,0.0,0.0,18.01999999999999,0.8484861850738525,5.783713340759277,0.0,0.0003170081304270457,0.006371362670575269,133.3800048828125,1.7158916859457145
209,24645,12.608629964310646,1.0,1.0139923605243275,0.15232471276294923,142,0.18828645172055114,106,,0.009494826536822884,0.0,0.0,13.909999999999991,0.841181755065918,5.665182113647461,0.0,-0.023865760178206782,0.007581018518518518,136.3050079345703,1.7475996820112791
211,17783,9.09796172267544,1.0,0.6756655647838057,0.030904439438715178,15,0.04101691495314963,13,,0.009615925321936681,0.0,0.0,18.30999999999999,,,0.0,-0.011508103335742426,0.007300182745022602,85.40999603271484,1.6626315902846094
212,20803,10.643024108239171,1.0,2.4531098209103983,0.010538669145004415,7,0.015934945295233094,7,,0.010238907849829351,0.0,0.0,7.909999999999991,0.3802083730697632,1.7436107397079468,0.0,-0.1960624668800216,0.005084963770705006,-373.81500244140625,1.707445288741205
216,11698,5.9848144987829555,1.0,0.9637555251922283,0.03332840072680576,7,0.03637035782565501,5,,0.008890408616857583,0.0,0.0,14.4,,,0.0,-0.1578411665250992,0.002869551729486583,135.72000122070312,0.9841899366182963
220,9328,4.772298653158438,1.0,0.9161626303763296,0.0,0,0.0,0,,0.011899656946826757,0.0,0.0,9.309999999999992,2.867863655090332,7.624025344848633,0.0,0.10983624469513115,0.009585462805224303,132.0150146484375,2.2631720631000634
221,7622,3.8994918883333636,1.0,1.0734706468500819,0.06729038761070394,6,0.08798342108052903,5,,0.010627131986355287,0.0,0.0,9.0,0.709864616394043,2.627946138381958,0.0,0.08259133346678793,0.006035205364626991,133.1850128173828,1.0914656289737086
266,11740,6.0063021213636425,1.0,1.3405950900564216,0.46799225867838923,99,1.0,74,,0.008517887563884156,0.0,0.0,10.909999999999998,0.8601745367050171,2.9316601753234863,0.0,-0.22579566820942545,0.0037697009496868057,-191.2949981689453,1.6228609725431042
406,3228,1.6514772783442793,1.0,0.8151900508483341,0.37516634023227696,6,0.3387502819379479,3,,0.012701363073110285,0.0,0.0,4.6,1.1472885608673096,1.893876314163208,0.0,-0.2744702807577776,0.0075719544846050875,-120.51000213623047,1.1211700356226575
426,2148,1.0989384119837398,1.0,1.075597815352453,0.1412118407953757,1,0.0,0,,0.009776536312849162,0.0,0.0,5.0,0.7686407566070557,3.510199785232544,0.0,-0.046397445231794864,0.00594863858393384,140.98500061035156,1.5231321977044268
427,3948,2.019836522584639,1.0,2.764617235365781,0.12540262721865003,3,0.21019458960030646,3,,0.012664640324214792,0.0,0.0,8.2,1.7209763526916504,2.6873724460601807,0.0,-0.35935852170097793,0.019288128852654605,-396.9224853515625,3.344173439612265
431,2116,1.0825668900175016,1.0,3.137860460514696,0.14551519369328184,1,0.24936362869575313,1,,0.030718336483931945,0.0,0.0,3.7099999999999906,0.8555378913879395,1.217850685119629,0.0,-0.5010303869314134,0.006007191090064018,-448.79248046875,2.324918430538509
